unique_key,created_date,closed_date,agency,complaint_type,descriptor,location_type,incident_zip,city,borough,latitude,longitude,anomaly_score,anomaly
68642996,2026-04-12T20:10:13.000,,DOHMH,Tobacco or Non-Tobacco Sale,Banned Tobacco Flavors Sold,Retail Store,11235.0,BROOKLYN,BROOKLYN,40.57815346303996,-73.95889665221485,-0.31944364555812255,1
68639339,2026-04-12T10:57:00.000,2026-04-13T00:13:00.000,DSNY,Derelict Vehicles,Derelict Vehicles,Street,11101.0,LONG ISLAND CITY,QUEENS,40.7415634133253,-73.93420975072242,-0.31941857177240146,1
68644064,2026-04-12T13:37:10.000,,DOHMH,Indoor Air Quality,Sewage Odor,3+ Family Apt. Building,10075.0,NEW YORK,MANHATTAN,40.77676599854302,-73.96109207022856,-0.3193810595076398,1
68639473,2026-04-12T08:46:35.000,,DOHMH,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11366.0,FRESH MEADOWS,QUEENS,40.72605747996736,-73.80829248277918,-0.31936336284358546,1
68647361,2026-04-12T06:39:59.000,,TLC,Lost Property,Bag/Wallet,Taxi,10018.0,,MANHATTAN,40.75228077443335,-73.98969188939078,-0.3192854089307665,1
68639183,2026-04-12T15:11:45.000,,DOHMH,Unleashed Dog,Unleashed Dog in Public,Public/Unfenced Area,10465.0,BRONX,BRONX,40.81498012645318,-73.80731740939815,-0.31927973258978853,1
68644133,2026-04-12T07:45:06.000,,DOT,Highway Condition,Pothole - Highway,Highway,,,MANHATTAN,,,-0.3186474537225373,1
68639485,2026-04-12T19:29:01.000,,DCWP,Consumer Complaint,Restaurant,Business,11422.0,ROSEDALE,QUEENS,40.66676860815165,-73.73663267830253,-0.3183611004898014,1
68647496,2026-04-12T19:58:28.000,,DSNY,Missed Collection,Bulky Trash,Street,11422.0,ROSEDALE,QUEENS,40.655322249906654,-73.74738910985931,-0.31833491097330907,1
68639233,2026-04-12T12:44:33.000,,TLC,Lost Property,Bag/Wallet,Taxi,10128.0,NEW YORK,MANHATTAN,40.78480425240398,-73.95802520613208,-0.31826766655097005,1
68647321,2026-04-12T08:25:34.000,,DOHMH,Unsanitary Animal Pvt Property,Dog,1-2 Family Dwelling,10310.0,STATEN ISLAND,STATEN ISLAND,40.62451712433045,-74.13103637881812,-0.31826627536994784,1
68640592,2026-04-12T15:31:55.000,,DSNY,Dirty Condition,Trash,Yard,11367.0,FLUSHING,QUEENS,40.72841946827458,-73.82473094253068,-0.3182522135328388,1
68647301,2026-04-12T18:49:13.000,,TLC,For Hire Vehicle Complaint,Car Service Company Complaint,Highway,11430.0,JAMAICA,QUEENS,40.64832048620134,-73.78828125130184,-0.318119382859535,1
